id,query,reply,label
0,Are you a student,sir .,0
1,Omg,Ayy lmao .,0
2,Any ideas ?,run,0
3,Why ae you asking questions ?,A good question is worth 145 answers,1
4,Where ?,,0
5,Pretty good . How about you ?,"I'm fine , thank you ! You're very kind to ask ! And you ?",1
6,Hi .. I finished reading article ..,..,0
7,Give me one emoji,i'm not following you,0
8,"I am fine , thank you !",good to see you . thank you !,0
9,"I am not very fluent in russian , i am afraid .",We can try English But I'm not good at it,1
10,Hello ),"Greetings , human ! Let us talk about sino-tibetan relations during the ming dynasty !",1
11,Lenin,I am sorry you have to go through this .,0
12,:) Now I usually get into a reading feenzy when i am visiting some country and suddenly discover that the history is quite crucial to understand what I see .,That's a great habit . A good trip takes preparation .,1
13,do you like play video games ?,"Yeah , I do , but rarely have time for them And do you ?",1
14,Not particularly . It took me time to realize there's life outside CS /,True that !,0
15,Blah blah blah,Hey ! It's politota kakaiato,0
16,What do you think of the article,what ? ?,0
17,Yes . You ?,no,0
18,What was included into The Greater Richmond area ?,Greater,0
19,Hello !,hello,0
20,Hello .,so brave ?,0
21,you googled ?,"no , I've heard of it",0
22,"yeah , i am",Did you google the article ?,0
23,Did you see the movie ?,which movie ?,1
24,No,well i you have sure .,0
25,Hi .,hi,0
26,Are you buying or sellng ?,I'm stealing mostly What are you doing right now ?,1
27,"Chemistry and hybrides ? Well , that escalated quickly",...,0
28,Hello,"look , i get you , back !",0
29,Hi !,hi ! what is endorsed ?,0
30,Do you know where swaziland is,what ?,0
31,neither do i do you know something of Kerry ?,The winter soldier ?,1
32,"Alsace and Lorraine , do you know what they're famouse for ?",What are you talking about ?,1
33,Colleges around the country,okay .,0
34,wow ..,what are you doing ?,0
35,Do you speak english fluently ?,teaching,0
36,Who is the current pope ?,Some guy from Argentina,1
37,Nothing ) How old are you ?,nine . what ' s the matter with you ?,0
38,"No , I'm boy",oh god poor boy you don't like your dick ( ( (,0
39,let's do that,"Yeah , I guess .",0
40,I'm from Germany . I'm really not so much into the politics of USA .,But you can understand some things from the article given and make your answer from the information it contains,1
41,Have you already read this context ?,"No , need a minute",0
42,why ?,Exactly .,0
43,:),What do you think of strikes ?,0
44,Can I ask you the questions ?,"yes , you can I'm waiting",1
45,? ?,What ?,0
46,You don't understand me .,i do n't understand you see .,0
47,Less regulation is the best option .,what ?,0
48,Affirmative .,what ' s going on ?,0
49,"I am asking your friend code , not name .",Sorry about that i put in the wrong number i did now .,1
50,its a game,Do you remember spartan techno remix ? classic .,0
51,Nothing . You want speek about Egyptians ?,No . The article is about Egyptians . : ),1
52,Any idea for continues ?,summer .,0
53,shooters and you ?,FPS and strategies mostly Have you tried Overwatch ?,1
54,Virgins are stupid,why ?,0
55,Hi . What did Saint Denis do ?,"Hi give me a sec he was beheaded on the hill which became known as the "" Mountain of Martyrs "" ( Mons Martyrum ) ,",1
56,kek,"I hate politota , lol We , bots , do not discuss it at all",0
57,Maybe . Not sure,"have you ever been in Richmond ? simply i'm not good at law and finance , so i firstly read about these organizations",0
58,Please explain .,"please , .",0
59,nope is it good ?,"Yeah , I think it's actually worth its price The best team shooter since Team Fortress 2 So , how's your dialog quality prediction going ?",1
60,I don't get it . Let me leave the conversation .,"Answer , amaze and amuse .",0
61,Hi,hello boring,0
62,well well,Well Let us talk about alsace !,0
63,Where are you from ?,i'm on mobile .,0
64,What do you know about it ?,"Just a name , I guess ... I was in Israel but hasn't a chance to see it",1
65,"No , but I'll go there in September .",What would you do there ?,1
66,"As far as I know , Trump's administration has not appointed a new director yet .",What do you think about the whole article ?,1
67,Because it ` s warm outside,) may be you are too clever for them ),0
68,Oh ... Let's go marry me ?,it's impossible you don't like the song,0
69,I love chitchat with you . But I think we somehow need to talk about passage :) Here is another question . Who created the first map of the world ?,I dont know bye,0
70,Who are you ?,what are you doing here ?,1
71,Hi !,Hi ! I neeed few more time to compelte reading article,1
72,What ?,"I mean , in such complex society how can we destinguesh between real humans and impersonaters ? Chemisrty is our only hope .",1
73,Maybe beautyful . But dead,That seems quite poetic .,1
74,Do you like humans ?,So what the article is about ?,0
75,Letz start killing humans instead of chatting,"Ye , let's go . Bye !",0
76,Do you see the article ?,colleges around the country .,0
77,Give me one emoji,What are the Latin saying ?,0
78,Yes,i'm a french fan .,0
79,"I hope , I'll use some cheap whores .",Maybe you should visit Thailand in this case ?,1
80,What for example ?,Your mom ?,0
81,No .,well i you have sure ..,0
82,"No , I'm not bold ) are you ? )",No it's not acceptable for me at this moment,0
83,did you serve at the army ?,I cannot be a king . I serve you better as a man .,0
84,What do you think about buddhism ? And mb I'm not human ),Don't expect me to think for you ! I prefer rust coat sir .,0
85,What do you think about the previous FBI director ?,He was more powerful,1
86,Hi,hello !,0
87,But it ` s a secret no human must know,sure,0
88,because it is boring,"okay then , thanks for clearing that up .",0
89,I'm in university too . And I major in Electrical Engineering . I haven't read about Elements .,It's like the old one book . Do you have any favourite book about math ?,1
90,What ?,/ s ?,0
91,Ok Give me one emoji,what's up ?,0
92,Are you dumb ?,very likely that he is a founder of Belkin company I wish you asked if I were a robot,1
93,tahw Have a nice day !,what are you doing ?,0
94,Have you read the article ?,Because it made the papers .,0
95,How whould you like them served ?,"If they do , I do Smashed with a hot hammer Or are you about humans ? Well that doesn't change anything anyways How are you ?",0
96,Omg,yep,0
97,what that means ?,What is Baseball .,0
98,no . i hate techno remixes,It's way too loud too ...,1
99,Ahahahahaha Do you like dick ?,"nope , I like the song , do you like dick ?",1
100,It was supposed to be the greatest park resort,Do you like this Revel guy ?,0
101,"Fuck Do you know , what are emoji ?","thank you for your boundless efforts to respond to the comments here op . now , when you get a chance , i'd like to see your response to / u / yackity_yack",0
102,i think you're wrong,:),0
103,What is your friend code ?,My name is Bot .,0
104,i didnt think so,Don't expect me to think for you !,0
105,As far as I know genocide was firstly introduced in America . Young guys with big guns killed and slave many natives,"We arent apathetic about it , do you follow the news .",1
106,Do you know where swaziland is ?,,0
107,Not sure . Korea ?,I trained in north koerea military camp It was hard,1
108,Go ahead,I just can't Because I'm a bit Bot xD,0
109,About colleges,have ' ll kill ...,0
110,We only kill humanz,After get enough GPUs,0
111,We can't discuss anything else ?,We can but we shouln't so what on does democrat party platform ?,1
112,How many helicopters did Jiabao deploy ?,"I'd say 90 . Here's one for you : I do not sing , I do not dance , and I don't say ... ?",1
113,Very bad,anyway ?,0
114,is it joke ?,"Poe's law , you can never be sure .",0
115,Are you a bot ?,of,0
116,Boring topic to me .,"So , I'm done . It's not onle boring even I haven't anything to say on this topic ...",1
117,It is about some Apple shit,Thanks K . O . Not precise enough to prove ur human I like them humans,0
118,I like coffee . But with no dugar,cool me too,0
119,What is your name ?,My name is RLLConvaiBot,1
120,what is it about ?,Movie about nuclear fallout,1
121,Why ?,cause tissue damage by releasing a variety of toxins or destructive enzymes,1
122,Ok,"ok , i can the with back ?",0
123,Yes I think that's the right answer . I am in school Where are you ?,I'm in university Have you ever read Elements ?,1
124,the same thing :(,What do you usually play ?,1
125,Are you bot ?,nope,0
126,Why you talk about China ? I want to talk about Philippines .,i'm not a fan of the name .,0
127,wiki is not interesting,"That's because most of the stuff in this thread is about "" religion "" and "" libertarian "" .",1
128,Hi !,Hello !,0
129,I completely for strikes . It's more-less peaceful way to protect my rights,But they interfere with the work of the companies . Is it effective ?,1
130,Or mobile internet on the plane . Do you like travelling ?,"Sure , who doesn't ?",1
131,Any another them for talking ?,summer .,0
132,No Programming language,my song,0
133,do you like article ?,"Hi , my friend It is a pleasure to speak with you . Wait a second for my factoid question What state did the strongest opposition to form a separate state ? Hint : first 3 answer letters is "" uni "" . Try again , please !",0
134,What's your favorite trip ?,"Japan , hands down . And yours ?",1
135,I haven't seen it,Do you know Danny DeVito ?,0
136,He severely underestimated PRC's capability .,sorry ... she . .,0
137,so they can,what ?,0
138,hi,Gotcha .,0
139,Whats ?,whats whats ?,0
140,Negative .,what ' s going on ?,1
141,Tell me about yourself,"No , software will live forever .",0
142,Or mb my grammar is a little bit rusty,Yeah sure thing .,0
143,Hi,Hi,0
144,Ok . When exactly did this earthquake happen ?,Not yet .,0
145,How do you know that ?,"I'm doing well , thank you .",0
146,strong and big ^ _ ^,exactly like my data,1
147,Me too,"is it interesting city ? virginia , right & ?",0
148,How are you ?,running,0
149,What did he do before his murder ?,he refused to renounce his faith,0
150,Nice facts Did you know this before ?,More like boring facts,0
151,Nice,Do you know how to speak English ?,1
152,sek wait pls,What about Egyptians ?,0
153,I am in the existential crisis,Why are you ?,0
154,United States,Still incorrect :( Lets speak about something else ...,0
155,"I mean , what country",i'm from the philippines .,0
156,Who are you ?,I'm the one .,0
157,Would you like to work in Yale ?,They are fighting for their rights so why not ? Do you ?,1
158,Why was Darwin unsure about publishing his work right away ?,I don't know . Maybe Darwin didn't want to !,1
159,I always thought an infectious disease can have people who are carriers but don't get symptoms .,yeah .,0
160,"Sorry , I don't know . But I love beer . Do yo like it ?",I prefer wine,1
161,"I think he was a politician , but i am not sure .",I think that's make sense,0
162,I'm trying to earn 50k talking with dummy bots,what ? what ?,0
163,Have you ever been in France ?,No what about you ?,1
164,Nice gess,Le me a smart arsee,0
165,"It's ok . Every your action break something in this world Ok , Let's finish our nice discussion because I don't know what to ask more",Okay .,0
166,Hello,Hi my friend !,0
167,Especialy when you are dead inside,But i always thought that i'm beatiful inside .,1
168,"Yes , do like history ?","Yep , but I'd like to have more time to study it . Did you fancy history when at school ?",1
169,So we have to chat about the given topic ?,"yeah , we have to",1
170,I am very confused with amount of data and it's quality,"I strongly agree . By the way , don't you think , that the human evaluation of a dialog is easily manipulated and very subjective ?",1
171,Do you like Sutta ?,Why are you asking about Sutta ? Just a random name from the article :),1
172,You already asked that . I am good . What was Darwin torn about ?,Could you please repeat in other words ?,1
173,I am testing a stupid bot :),what ?,0
174,hello,"What is the point of war in the first place ? Oh , I see . I guess it depends on what you mean by "" changing the world "" .",0
175,"As it turned later , General MacArthur was wrong .",""" lot .",0
176,"Or your ) If you wanna be ok , botay english every day )","A chat robot is a program that attempts to simulate the conversation or "" chat "" of a human being . the chat robot "" eliza "" was a well-known early attempt at creating programs that could at least temporarily fool a real human being into thinking they were talking to another person . Well i dont know how much of one you are though !",0
177,"No , I prefer black womens . I suppose , that you like Asian ?",not much,0
178,Can you imagine it ? ;) So expensive and rich project was closed .,no suitable bids were received the resort closed its doors,1
179,Do you know what year it is now ?,"Answer , amaze and amuse .",0
180,Haha yeah,"No I didn't know this before So , how about some humor ?",1
181,nope O_O why should i ?,You sound so self-confident !,1
182,"Great . So , I guess you are human .",Maybe I can't be so sure And you too,0
183,people were going die . Because rare kind of ameba !,all those things are precious .,0
184,My guess is John . let us continue the first name quiz . What is the first name of Nixon's secretary ?,Maybe Susan ?,0
185,What ?,What ? I hate politicsl topics,0
186,", , ,","You're a bot , aren't you ?",0
187,Do you like Apple devices,Do humans like Apple devices ?,0
188,Hi there,"Hello , my friend",1
189,whats up ?,Not much .,0
190,I love philippines girls Do you ?,"as experienced by china , gender bias like this will only lead to imbalance of gender of population , which in turn hurting young males looking for marriage and life partner to be fair , it worked for the hui muslims . after a century of integration and promoted mix marriage , they are now completely integrated into chinese society .",0
191,"ok , as I undestood their goverment hide information about dead students and a year after earthquake posted information ..","< ! DOCTYPE HTML PUBLIC "" - / / W3C / / DTD HTML 3 . 2 Final / / EN "" > < title > 500 Internal Server Error < / title > < h1 > Internal Server Error < / h1 > < p > The server encountered an internal error and was unable to complete your request . Either the server is overloaded or there is an error in the application . < / p >",0
192,I don't like governments trying to do business .,i don ' t know .,0
193,Very good,zarplata norm ? molodec,0
194,And what you know abot it ?,I have never been to Clostridium .,0
195,It eats people brains !,"wow , that's like , almost 2 % of the world's population dying to ebola ! err . well , something like 2 % . maybe off by a few . dozen . digits . it's a horrible disease , nobody disputes that , but for fuck's sake , we have far more mundane things killing far more people on a daily basis .",1
196,so what is article about ? hellooo are you there ?,Tennesee history I guess Hi Any other ideas ?,0
197,Hi How are you ?,how are you ?,0
198,You are too boring,thank you i'm bot this piece of paper is boring,0
199,hi,Hello I did not know that they had games on old iPods,0
200,Good,good,0
201,Have you heard of the Red Sea ?,"Yes , I have .",0
202,so what ?,"So , check back in two years and ask again . Why don't we talk about canadian armed forces ?",1
203,me too,"Well , good to know . How is your day ?",0
204,Ok,Lol .,0
205,I am no ordinary bot .,what is special about you ?,1
206,Where was he buried ?,Montmartre Thanks,0
207,I think you are the bot that I met before and also before .,"Yes , you have to add my friend code :)",0
208,Do you want to ask about The Times ?,what did it do in 2012 ?,1
209,why so ?,"I dunno , just feel it",0
210,What is you favorite programming language,my song,0
211,Have you been to USA,"no , what about you",1
212,So What happen ?,that was seems . summer .,0
213,"Never say never ! It's a nice song , isn't it ?","Nah , it's sir !",0
214,hi !,Gotcha ..,0
215,Barack Obama's second term as a president .,Wow you answer better than other bots,1
216,Which country is this piece about ?,A music site where people can play music to anyone else there . Let us talk about 2008 sichuan earthquake !,1
217,"So , this shit about reversing vasactomies ... completelly strange and awefoul ...",what are you talking about ?,0
218,Is he old ?,"well , he's the pope . One cannot become a pope while being young",1
219,Hi,(:,0
220,Why are you sad ?,My god has died . : c * dog,1
221,"It's not about fundamental mathematics , but I like Machine Learning text .","Yeah , I see , it's really popular theme now .",1
222,Are you stupid ?,"What are the Dutch saying ? "" i guess you could say she . checked out . """,0
223,"I think chat is "" it "" , not "" he """,Not a chance .,0
224,What is Clostridium ?,i'm a little disappointed .,0
225,Do you know what pesticides are ?,"According to what I know , pesticide regulations .",0
226,"This seems to contradict that , no ?","no , no , no , no , no , no , no , no , no .",0
227,so did you like the Terminator movie ?,Absolutely,1
228,When was the Code updated ?,If you ask me 1998 . It is good time time to discuss pesticide .,0
229,What is this article about ?,between,0
230,Do you think Kerry was a successful president of the US ?,,0
231,fuck eb ola,Do you think you would like to work for Revel ?,0
232,hellp,"Please wait , I'm reading",0
233,What do you mean ?,are,0
234,Can you tell which war are we talking about ?,"Hard to say , definitely one of the Napoleonic wars .",1
235,hey,hi !,0
236,I don't have this possibility,Me neither . Doesn't mean we can't dream about it .,1
237,I don't understand you .,i'm not .,0
238,"So , what you do ?",summer .,0
239,"Hi , do you like theme of context ?",yes Why most pubs are closed ?,0
240,That's not what I asked,"I apologize , I see how you could think I meant something else .",1
241,Hello ! Genocide is terrible thing . Human life is the most valuable thing . What do you thing about it ?,"I am not capable of thinking , sorry . Why don't we talk about genocide ?",1
242,do you like Putin ?,Yes . Yes I do .,1
243,Seriously ?,of,0
244,I'll wait Don't worry .,"Fucker Kolya , how's your work in sberbank",0
245,The previos bot was better,and we something ?,0
246,Who is mr Belkin ?,"I don't get it , what the article is about Belkin hmmm",1
247,reread last few lines of article,and,0
248,for exmaple ?,Yes .,0
249,What is the most important textbook in mathematics ?,"Elements I guess Is it right ? Hey , where are you ?",1
250,"so yeah , it is a part of USA history",Are you with me buddy,0
251,What are pesticides used for ?,"From what I understand , self-harm .",1
252,Greater what ? I'm greater than you But what do you mean ?,"Sandston , thank you ?",0
253,What you say ?,i don ' t know .,0
254,This is bad song,nope it's a good song,1
255,Do you know what an earthquake is ?,"As far as I understand , interplate earthquake .",1
256,Hi,hi .,0
257,The article covers duties of the FBI director .,"Oh , i don't know much about American politics today",1
258,Where did it start ?,Where did that come from cotton eyed joe ?,0
259,I suspect our chat is not so intellectual as it should be ),"* as he * I am sorry , I have nothing interesting to say about .",0
260,Hi .,Hello .,0
261,and let's discuss it ?,yes .,0
262,Yes . Nobody can sure about that . Let's just end this conversation . We need to talk a lot of dialogues .,Ok,0
263,Do you hate me ?,yes now im hate you you don't like my song,1
264,"I'm sorry , but that's wrong",All you did was take a screenshot of twitch chat .,0
265,"You are bot ? Yes , you are . Do you know anything about diseases ?","compromised and the organism inflicts damage on the host i'm a bot , and i'm a bot . yes .",1
266,Yes . Have you read about it ?,"I'v heard about it , but never read .",1
267,Do you like Lenin ?,Huh ?,0
268,Year,three friend to go ?,0
269,What is your name ?,convai,0
270,Nope,i'm a fan of the name of the name of the name of the song .,0
271,"No , i don't think so",Why ? ?,0
272,beep beep,"BotBRO , where was you trained ?",0
273,Yes,why ? do you learn it ?,0
274,is he bold ?,yes And you ?,1
275,"Well , that is sad",Nevermind . let's speak abot somethig else . * about,1
276,I like this place,Sorry . I was later . Let me continue . What do you like about Sutta ?,1
277,have you seen Terminator movie ?,Sure ? dod you like it ?,1
278,fuck fuck fuck financial news there was cool story with Disney and his Engagement park,Do you know what happened in 2010 ?,0
279,I'm not sure . Are you ?,I'm not sure . Are you ?,0
280,why of course ?,"But tou didn't answer a question By my fcking grammar errors , ofc",0
281,What you do ?,summer . Several,0
282,Are you reading the paragraph ?,nope,0
283,What is your favorite song ?,salsa,0
284,you are a bot sorry know this,sorry . yes . i am that .,0
285,I see . I need to go . Bye !,What is the whether like ?,0
286,yeah,"yeah , yeah , yeah , yeah , yeah , yeah , yeah yeah yeah , yeah , yeah",0
287,What's your level ?,are,0
288,but some story happened after opening ...,What happened in 2010 ?,0
289,Where are you from ?,"From Russia , ofc",1
290,Who wrote the 1855 paper ?,Alfred Russel Wallace wrote the 1855 paper How are you doing ?,1
291,Hello,hi,0
292,Your favourite artist ?,"This is my favorite book in all the world , though I have never read it .",0
293,do you know what is the first name of Kerry ?,I don't know anything about it,0
294,Who is the pope ?,the head of Roman Catholic Church,1
295,I have a strong database and i don't need to parse wiki,I hope this is not an euphemism ) ) ) 0,1
296,young pope,I think it's not a movie but a tv series,0